eventId,eventTitle,startDate,endDate,city,region,country,sponsors,about,eventFormat,isvirtual,url
70584,"2026 2nd International Conference on Unmanned Systems and Technology (UST)",2026-07-03,2026-07-05,"Tianjin","","China","IEEE Systems, Man, and Cybernetics Society; Tianjin University of Technology","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70584
70753,"2026 IEEE 9th International Conference on Big Data and Artificial Intelligence (BDAI)",2026-07-03,2026-07-05,"Chongqing","","China","China Council; Chongqing University of Science and Technology","Computing and Processing",hybrid,Y,/conf/details?id=70753
71030,"2026 9th International Conference on Computer Information Science and Application Technology (CISAT)",2026-07-03,2026-07-05,"Chengdu","","China","Chengdu Section; Sichuan University","Communication, Networking and Broadcast Technologies; Computing and Processing",hybrid,Y,/conf/details?id=71030
70973,"2026 2nd International Conference on IOT, Data Science and Advanced Computing (IDSAC)",2026-07-03,2026-07-05,"Zhuhai","","China","Guangzhou Section; Zhuhai Computer Federation","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70973
71012,"2026 6th International Conference on Intelligent Communications and Computing (ICICC)",2026-07-03,2026-07-05,"Hangzhou","","China","Beihang University- Zhongfa Aviation Institute; Nanjing Section","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71012
70564,"2026 3rd International Symposium on New Energy Technologies and Power Systems (NETPS)",2026-07-03,2026-07-05,"Zhuji City, Shaoxing","","China","Hangzhou Dianzi University - HDU; Nanjing Section","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=70564
67986,"2026 IEEE 26th International Conference on Nanotechnology (NANO)",2026-07-05,2026-07-08,"Nanjing","","China","IEEE Nanotechnology Council","Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics; Robotics and Control Systems",inperson,N,/conf/details?id=67986
69471,"2026 IEEE 27th China Conference on System Simulation Technology and its Applications (CCSSTA)",2026-07-10,2026-07-12,"Hohhot","","China","China Council; Chinese Automation Association - CAA","Power, Energy and Industry Applications",inperson,N,/conf/details?id=69471
70285,"2026 3rd World Conference on Computer and Information Security (WCCIS)",2026-07-10,2026-07-12,"Huizhou","","China","Guangzhou Section; Huizhou University","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70285
70381,"2026 8th Asia Conference on Machine Learning and Computing (ACMLC)",2026-07-10,2026-07-12,"Beijing","","China","IEEE Systems, Man, and Cybernetics Society; Renmin University of China","Computing and Processing; Engineering Profession",inperson,N,/conf/details?id=70381